,id,host_response_time,host_response_rate,host_is_superhost,host_identity_verified,host_listings_count,neighbourhood_group_cleansed,property_type,room_type,latitude,longitude,guests_included,accommodates,bathrooms,bedrooms,beds,bed_type,amenities,price,cleaning_fee,minimum_nights,maximum_nights,instant_bookable,cancellation_policy,review_scores_rating
8127,30855272,within an hour,100%,f,f,2,Other neighborhoods,House,Entire home/apt,47.70091100212392,-122.361173130515,1,4,1.0,2,2.0,Real Bed,"{TV,Wifi,Kitchen,""Free parking on premises"",""Free street parking"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Lockbox,""Private entrance"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Patio or balcony"",""Garden or backyard"",""Luggage dropoff allowed"",""Long term stays allowed"",""Step-free access"",""Step-free access"",""Step-free access"",""Handheld shower head""}",$64.00,0,1,1125,t,flexible,1
3069,14446891,within an hour,100%,t,t,3,Other neighborhoods,Townhouse,Private room,47.66861803324526,-122.28374446049186,1,2,1.0,1,1.0,Real Bed,"{TV,Internet,Wifi,Kitchen,""Free street parking"",""Indoor fireplace"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Hot water"",""Luggage dropoff allowed"",""Long term stays allowed"",""Host greets you""}",$50.00,$35.00,30,1125,f,moderate,1
7287,27677744,within an hour,94%,t,f,4,Beacon Hill,Townhouse,Private room,47.58990295948961,-122.31397961929899,2,1,1.0,1,1.0,Real Bed,"{TV,""Cable TV"",Wifi,Kitchen,""Free street parking"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Keypad,""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""BBQ grill"",""Patio or balcony"",""Luggage dropoff allowed""}",$75.00,$45.00,1,14,t,moderate,1
6705,25490529,within an hour,100%,t,f,1,Central Area,Apartment,Entire home/apt,47.608440728970145,-122.2912999456769,2,3,1.0,1,1.0,Real Bed,"{TV,Wifi,Kitchen,""Free street parking"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Keypad,""Private entrance"",""Pack ’n Play/travel crib"",""Hot water"",""Luggage dropoff allowed"",""Long term stays allowed""}",$125.00,$50.00,1,30,f,moderate,1
1719,8426827,within an hour,100%,t,t,6,Ballard,Apartment,Entire home/apt,47.68282230991353,-122.37707614011372,3,4,1.0,1,3.0,Real Bed,"{TV,""Cable TV"",Wifi,Kitchen,""Free street parking"",""Indoor fireplace"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",""Smart lock"",""Private entrance"",""Baby monitor"",Bathtub,""High chair"",""Stair gates"",""Children’s books and toys"",""Fireplace guards"",""Babysitter recommendations"",""Pack ’n Play/travel crib"",""Room-darkening shades"",""Children’s dinnerware"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Patio or balcony"",""Long term stays allowed"",""Cleaning before checkout""}",$115.00,$95.00,3,1125,f,strict_14_with_grace_period,1
2025,10060388,within a few hours,100%,f,t,1,Other neighborhoods,House,Entire home/apt,47.5211681277829,-122.32875520407349,6,6,1.5,3,3.0,Real Bed,"{TV,Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",Essentials,Shampoo,""24-hour check-in"",""Hair dryer"",Iron,""Laptop friendly workspace""}",$66.00,$90.00,2,22,f,strict_14_with_grace_period,0
4937,20914463,within an hour,100%,t,t,42,Downtown,Condominium,Entire home/apt,47.611035439046745,-122.33003723777556,1,6,2.0,2,3.0,Real Bed,"{TV,Internet,Wifi,Kitchen,""Free parking on premises"",Elevator,Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Hot water"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Luggage dropoff allowed"",""Long term stays allowed"",""Host greets you""}",$195.00,$130.00,3,30,t,strict_14_with_grace_period,1
5393,21934066,within an hour,100%,f,f,3,Central Area,House,Private room,47.5972139808986,-122.29703570572396,1,2,1.0,1,1.0,Real Bed,"{TV,Wifi,""Free street parking"",Heating,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Private living room"",""Hot water"",""Luggage dropoff allowed"",""Step-free access"",""Step-free access"",""Host greets you"",""Handheld shower head""}",$40.00,$50.00,2,14,f,moderate,1
2306,11826680,within an hour,100%,f,f,1,Other neighborhoods,Apartment,Entire home/apt,47.69965299679047,-122.3716711401446,2,4,1.0,1,2.0,Real Bed,"{TV,""Cable TV"",Wifi,Kitchen,""Free parking on premises"",Breakfast,""Free street parking"",""Indoor fireplace"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Lockbox,""Private entrance"",""Hot water""}",$125.00,$150.00,2,1124,f,flexible,1
2970,14061341,within an hour,100%,t,t,1,Other neighborhoods,Townhouse,Private room,47.70665989306703,-122.35681983396131,1,2,1.0,1,1.0,Real Bed,"{TV,Wifi,""Pets live on this property"",Dog(s),""Free street parking"",Heating,Washer,Dryer,""Smoke detector"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Self check-in"",Keypad,""Room-darkening shades"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Refrigerator}",$59.00,$35.00,2,1125,f,moderate,1
