"X","id","host_is_superhost","host_response_rate","host_response_time","host_listings_count","host_identity_verified","accommodates","property_type","room_type","guests_included","bathrooms","bedrooms","beds","bed_type","cleaning_fee","minimum_nights","maximum_nights","instant_bookable","cancellation_policy","price","In_Downtown","In_Delridge","In_Lake_City","num_amenities","total_nearby_landmarks"
6241,24059020,"t",1,"within an hour",3,"t",4,"Other","Entire home/apt",2,1,0,2,"Real Bed",45,2,29,"f","flexible",85,"f","f","f",23,0
3195,14993049,"f",0.96,"within an hour",13,"f",8,"Apartment","Entire home/apt",1,1,2,5,"Real Bed",175,3,1125,"f","strict_14_with_grace_period",195,"f","f","f",25,0
568,2897897,"t",1,"within an hour",2,"t",6,"House","Entire home/apt",4,1,3,4,"Real Bed",65,3,1125,"f","strict_14_with_grace_period",250,"f","f","f",23,0
5054,21175123,"t",1,"within an hour",1,"f",5,"Townhouse","Entire home/apt",5,2,2,2,"Real Bed",120,2,45,"t","flexible",126,"f","f","f",38,0
791,4026757,"t",1,"within an hour",5,"t",3,"House","Private room",1,2,1,1,"Real Bed",25,1,365,"t","moderate",75,"f","f","f",37,0
5901,22956885,"t",1,"within an hour",4,"t",2,"Guesthouse","Private room",1,1,1,1,"Real Bed",25,2,21,"f","moderate",39,"f","f","f",29,0
4167,18737911,"t",1,"within an hour",6,"f",4,"Other","Entire home/apt",4,1,2,3,"Real Bed",80,1,14,"t","moderate",249,"f","f","f",22,0
5124,21326416,"t",1,"within an hour",1,"t",3,"Apartment","Entire home/apt",1,1,0,1,"Real Bed",0,2,1125,"t","moderate",76,"f","f","f",27,0
1621,8036620,"f",1,"within a day",1,"t",8,"House","Entire home/apt",8,3.5,4,5,"Real Bed",100,2,1125,"f","strict_14_with_grace_period",560,"f","f","f",33,0
5405,21952292,"t",1,"within an hour",2,"f",4,"Townhouse","Private room",2,1.5,2,3,"Real Bed",90,3,10,"f","moderate",50,"f","f","f",22,0
2390,12265836,"t",1,"within an hour",2,"t",2,"Apartment","Entire home/apt",1,1,1,1,"Real Bed",25,2,29,"t","moderate",89,"f","f","f",50,0
2473,12704096,"t",1,"within a few hours",3,"t",2,"House","Private room",1,1,1,1,"Real Bed",45,3,1125,"t","strict_14_with_grace_period",62,"f","f","f",26,0
6700,25485508,"f",1,"within an hour",1,"t",2,"Guest suite","Entire home/apt",2,1,1,1,"Real Bed",50,2,1125,"t","strict_14_with_grace_period",101,"f","f","f",10,0
2821,13661612,"f",1,"within an hour",2,"t",3,"Apartment","Entire home/apt",1,1,2,2,"Real Bed",35,5,1125,"t","strict_14_with_grace_period",75,"f","f","f",18,0
5401,21951075,"t",1,"within an hour",1,"f",2,"Guesthouse","Entire home/apt",1,1,1,1,"Real Bed",45,2,30,"f","moderate",99,"f","f","t",44,0
437,1901706,"t",0.75,"within a day",8,"t",2,"Apartment","Private room",1,1,0,1,"Real Bed",75,30,365,"f","strict_14_with_grace_period",155,"t","f","f",43,2
8302,31644798,"f",0.88,"within an hour",2,"f",3,"Apartment","Entire home/apt",2,1,0,1,"Real Bed",25,1,90,"f","moderate",100,"f","f","f",20,0
5862,22818313,"t",1,"within a few hours",1,"t",2,"Guest suite","Entire home/apt",1,1,0,1,"Real Bed",35,1,1125,"f","moderate",75,"f","f","f",26,0
5242,21566209,"f",1,"within an hour",1,"f",1,"Townhouse","Private room",1,1,1,1,"Real Bed",50,2,1125,"t","strict_14_with_grace_period",75,"f","f","f",28,0
7726,29240253,"t",0.93,"within an hour",5,"f",9,"House","Entire home/apt",1,3.5,4,6,"Real Bed",300,2,1125,"t","flexible",550,"f","f","f",26,0
106,286080,"t",1,"within an hour",42,"t",6,"Condominium","Entire home/apt",1,2,2,3,"Real Bed",130,2,365,"f","strict_14_with_grace_period",144,"t","f","f",31,5
1266,6704734,"f",1,"within an hour",1,"t",3,"Guest suite","Entire home/apt",2,1,1,2,"Real Bed",40,2,1125,"t","strict_14_with_grace_period",89,"f","f","f",23,0
6953,26425599,"t",1,"within an hour",1,"f",12,"House","Entire home/apt",1,2,3,7,"Real Bed",150,2,1125,"t","moderate",299,"f","f","f",33,0
5510,22177229,"f",0.99,"within an hour",152,"f",2,"Apartment","Entire home/apt",1,1,1,1,"Real Bed",75,5,1125,"t","strict_14_with_grace_period",144,"t","f","f",18,6
2997,14170634,"t",1,"within an hour",6,"t",2,"Other","Private room",1,1,1,1,"Real Bed",0,1,14,"t","moderate",119,"f","f","f",19,0
301,1175464,"f",1,"within an hour",1,"t",3,"Condominium","Private room",2,1,1,1,"Futon",10,1,1125,"t","moderate",55,"f","f","f",26,2
2888,13803837,"t",1,"within an hour",2,"t",2,"House","Private room",1,1,1,1,"Futon",5,1,7,"t","flexible",49,"f","f","f",28,0
815,4163568,"t",1,"within an hour",1,"t",5,"House","Entire home/apt",2,1,2,2,"Real Bed",30,2,30,"f","moderate",80,"f","f","f",41,0
7648,28988803,"f",1,"within an hour",1,"f",2,"Townhouse","Private room",1,1,1,2,"Real Bed",0,1,1125,"t","moderate",50,"f","f","f",16,0
3140,14787702,"t",1,"within an hour",2,"f",2,"Guest suite","Entire home/apt",1,1,1,1,"Real Bed",45,1,1125,"t","moderate",150,"f","f","f",24,0
3831,17702892,"f",1,"within an hour",1,"t",4,"Guest suite","Entire home/apt",2,2,2,1,"Real Bed",90,2,1125,"t","strict_14_with_grace_period",150,"f","f","f",44,0
5336,21757332,"t",1,"within an hour",10,"f",2,"Apartment","Entire home/apt",1,1,0,1,"Real Bed",50,1,1125,"t","moderate",150,"f","f","f",29,2
5820,22767814,"t",1,"within an hour",131,"f",2,"Serviced apartment","Entire home/apt",1,1,1,1,"Real Bed",75,2,1125,"t","flexible",100,"f","f","f",43,2
6295,24168046,"f",0.99,"within an hour",647,"f",6,"Condominium","Entire home/apt",1,1,2,3,"Real Bed",100,1,1125,"t","strict_14_with_grace_period",50,"f","f","f",34,0
7797,29485876,"f",0.98,"within an hour",8,"f",4,"Apartment","Entire home/apt",2,1,1,2,"Real Bed",50,2,30,"t","flexible",125,"f","f","f",16,0
3600,16676830,"t",1,"within an hour",2,"t",4,"Other","Entire home/apt",1,1,0,2,"Real Bed",55,2,30,"f","moderate",175,"f","f","f",40,0
1160,6226804,"t",1,"within an hour",3,"t",2,"Townhouse","Private room",1,1,1,1,"Real Bed",30,30,300,"f","strict_14_with_grace_period",68,"f","f","f",14,0
5612,22213270,"f",0.99,"within an hour",521,"f",3,"Apartment","Entire home/apt",2,1,1,1,"Real Bed",89,2,1125,"t","strict",250,"t","f","f",25,3
6141,23781996,"t",1,"within an hour",2,"f",2,"Guest suite","Entire home/apt",2,1,1,2,"Real Bed",55,2,14,"t","flexible",100,"f","f","f",32,0
4602,20030086,"f",1,"within an hour",1,"t",2,"House","Entire home/apt",2,1,1,2,"Real Bed",40,7,1125,"f","moderate",119,"f","f","f",24,0
4961,20969227,"t",1,"within a few hours",1,"f",4,"Guest suite","Entire home/apt",4,1,2,4,"Real Bed",30,2,29,"t","flexible",149,"f","f","f",47,0
529,2614238,"t",1,"within a day",1,"t",2,"Condominium","Entire home/apt",1,1,1,1,"Real Bed",99,30,1125,"f","strict_14_with_grace_period",79,"f","f","f",25,0
6117,23705189,"t",1,"within an hour",32,"f",6,"Apartment","Entire home/apt",2,1,1,3,"Real Bed",90,1,365,"t","strict_14_with_grace_period",90,"f","f","f",23,0
84,226536,"t",1,"within an hour",2,"t",2,"Other","Private room",1,1,1,1,"Real Bed",15,1,30,"f","strict_14_with_grace_period",46,"f","f","f",36,0
7804,29512429,"f",1,"within an hour",123,"f",2,"House","Private room",1,1.5,1,1,"Real Bed",25,1,21,"t","strict_14_with_grace_period",100,"f","f","f",12,0
5793,22707369,"t",1,"within an hour",131,"f",2,"Serviced apartment","Entire home/apt",1,1,1,1,"Real Bed",75,2,1125,"t","flexible",150,"f","f","f",39,2
352,1511620,"f",1,"within a few hours",57,"t",1,"House","Shared room",1,0.5,1,1,"Real Bed",75,4,1125,"f","strict_14_with_grace_period",45,"f","f","f",21,0
184,649243,"t",1,"within an hour",1,"t",1,"House","Private room",1,3,1,1,"Real Bed",10,3,21,"f","flexible",75,"f","f","f",25,0
444,1935439,"f",1,"within a day",2,"f",2,"House","Private room",1,2,1,1,"Futon",30,2,1125,"f","strict_14_with_grace_period",49,"f","f","f",25,0
3645,16873284,"t",0.78,"within a few hours",1,"t",8,"Other","Entire home/apt",2,1,2,4,"Real Bed",80,2,30,"f","moderate",180,"f","f","f",37,0
932,4759230,"t",1,"within an hour",1,"t",7,"House","Entire home/apt",7,2,3,4,"Real Bed",110,1,14,"t","moderate",149,"f","f","f",38,0
8372,31908087,"t",1,"within an hour",2,"f",2,"Other","Entire home/apt",1,1,1,1,"Real Bed",80,3,14,"f","flexible",150,"f","f","f",26,0
2343,12042411,"t",1,"within an hour",1,"t",8,"Apartment","Entire home/apt",4,2,4,4,"Real Bed",250,2,1125,"t","moderate",225,"f","f","f",33,2
7281,27639215,"f",1,"within an hour",1,"f",2,"House","Private room",1,1,1,1,"Real Bed",0,1,7,"t","flexible",45,"f","f","f",13,0
7474,28335174,"f",1,"within an hour",1,"f",6,"Other","Entire home/apt",1,1,1,3,"Real Bed",25,1,8,"t","flexible",200,"f","f","f",16,0
1076,5695344,"t",1,"within an hour",2,"t",2,"House","Private room",1,1,1,1,"Real Bed",15,1,1125,"f","flexible",60,"f","f","t",38,0
1428,7348578,"f",1,"within an hour",123,"f",2,"House","Private room",1,1,1,1,"Real Bed",20,1,21,"t","strict_14_with_grace_period",50,"f","f","f",19,0
6826,25969751,"t",1,"within an hour",131,"f",2,"Serviced apartment","Entire home/apt",1,1,1,1,"Real Bed",75,2,1125,"t","flexible",450,"f","f","f",35,2
2101,10676154,"f",1,"within an hour",2,"t",2,"House","Private room",2,1,2,1,"Real Bed",20,2,14,"t","moderate",60,"f","f","f",31,0
5483,22152341,"f",0.99,"within an hour",521,"f",5,"Apartment","Entire home/apt",4,1,2,2,"Real Bed",129,2,1125,"t","strict",350,"t","f","f",27,3
4407,19556703,"f",1,"within an hour",1,"f",7,"House","Entire home/apt",6,2,3,4,"Real Bed",170,2,1125,"t","moderate",195,"f","f","f",38,0
2494,12811781,"f",1,"within a few hours",3,"t",2,"Townhouse","Private room",1,1,1,1,"Real Bed",35,2,20,"f","moderate",59,"f","f","f",23,0
6771,25788891,"f",0.99,"within an hour",521,"f",3,"Apartment","Entire home/apt",2,1,0,1,"Real Bed",89,2,1125,"t","strict",109,"t","f","f",21,5
8431,32090822,"t",1,"within an hour",4,"t",2,"House","Private room",1,1,1,1,"Real Bed",10,2,7,"t","flexible",65,"f","f","f",11,0
6596,25137610,"t",1,"within an hour",1,"f",2,"Guest suite","Entire home/apt",1,1,1,1,"Real Bed",30,1,22,"t","flexible",70,"f","f","f",25,0
7027,26747050,"f",1,"within an hour",2,"t",4,"Condominium","Entire home/apt",2,1,1,2,"Real Bed",90,3,100,"t","moderate",133,"t","f","f",24,5
6541,24950039,"t",1,"within an hour",3,"t",2,"Guest suite","Entire home/apt",3,1,1,1,"Real Bed",60,1,1125,"t","flexible",150,"f","f","f",36,0
5625,22228461,"t",1,"within an hour",6,"t",2,"Guest suite","Private room",2,2,1,1,"Real Bed",9,1,28,"f","flexible",59,"f","f","f",33,0
6501,24801941,"t",1,"within an hour",1,"f",4,"Townhouse","Entire home/apt",4,2,2,2,"Real Bed",120,1,1125,"t","flexible",150,"f","f","f",34,0
1865,9233533,"f",1,"within an hour",1,"t",2,"Guest suite","Entire home/apt",2,1,1,1,"Real Bed",75,1,1125,"f","moderate",105,"f","f","t",23,0
4556,19894332,"t",1,"within an hour",1,"f",2,"House","Entire home/apt",2,1,1,1,"Real Bed",30,2,15,"t","strict_14_with_grace_period",150,"f","f","f",31,0
4040,18348358,"t",1,"within an hour",1,"t",2,"House","Private room",1,1,1,1,"Real Bed",10,3,180,"f","flexible",49,"f","f","f",44,0
8381,31958706,"t",1,"within an hour",3,"f",2,"Apartment","Entire home/apt",1,1,0,1,"Real Bed",50,1,1125,"t","moderate",150,"f","f","f",25,0
6334,24337396,"f",1,"within an hour",4,"t",4,"Condominium","Entire home/apt",1,1,2,2,"Real Bed",85,2,150,"t","moderate",199,"t","f","f",25,3
4355,19364598,"f",1,"within an hour",1,"t",2,"Apartment","Private room",2,1,1,1,"Real Bed",0,2,30,"t","moderate",125,"t","f","f",38,3
5482,22152321,"f",0.99,"within an hour",521,"f",3,"Apartment","Entire home/apt",2,1,1,1,"Real Bed",89,2,1125,"t","strict",199,"t","f","f",27,3
708,3679617,"f",0.92,"within an hour",51,"t",4,"Apartment","Entire home/apt",1,1,0,2,"Real Bed",65,1,1125,"t","moderate",94,"f","f","f",29,0
4104,18507335,"t",1,"within an hour",2,"t",1,"Townhouse","Private room",1,1,1,1,"Real Bed",0,1,100,"f","strict_14_with_grace_period",78,"f","f","f",17,0
2926,13913655,"t",1,"within an hour",1,"t",5,"Guest suite","Entire home/apt",2,1,2,3,"Real Bed",59,2,27,"f","strict_14_with_grace_period",86,"f","f","f",54,0
5408,21968079,"f",0.8,"within a few hours",4,"t",10,"House","Entire home/apt",2,3.5,4,4,"Real Bed",140,5,1125,"f","strict_14_with_grace_period",250,"f","f","f",51,0
794,4046863,"t",1,"within an hour",5,"t",3,"House","Private room",1,2,1,1,"Real Bed",25,1,365,"t","moderate",72,"f","f","f",36,0
1370,7096547,"f",1,"within an hour",2,"t",4,"House","Entire home/apt",1,2,1,3,"Real Bed",90,2,90,"t","strict_14_with_grace_period",135,"f","f","f",24,0
684,3551836,"f",0.86,"within a few hours",2,"t",4,"Apartment","Entire home/apt",1,1,2,3,"Real Bed",10,2,1125,"f","moderate",100,"f","f","f",27,0
5476,22151445,"f",0.99,"within an hour",521,"f",5,"Apartment","Entire home/apt",4,2,2,2,"Real Bed",129,2,1125,"t","strict",300,"t","f","f",17,5
8386,31982232,"f",1,"within a few hours",1,"t",10,"House","Entire home/apt",1,3,3,5,"Real Bed",150,2,1125,"t","strict_14_with_grace_period",575,"f","f","f",32,0
366,1546870,"f",1,"within a day",1,"t",4,"Townhouse","Entire home/apt",1,1.5,2,2,"Real Bed",70,1,1125,"t","flexible",75,"f","f","f",44,0
8282,31588791,"f",1,"within an hour",123,"f",2,"Apartment","Private room",1,1.5,1,1,"Real Bed",25,1,21,"t","strict_14_with_grace_period",60,"f","f","f",8,3
2323,11944943,"t",1,"within an hour",4,"t",2,"Guesthouse","Entire home/apt",2,1,1,1,"Real Bed",0,1,1125,"f","strict_14_with_grace_period",100,"f","f","f",15,0
5881,22870053,"f",1,"within an hour",100,"f",5,"Apartment","Entire home/apt",1,1,2,2,"Real Bed",60,2,1125,"t","strict_14_with_grace_period",250,"t","f","f",29,5
48,107962,"t",1,"within a few hours",1,"t",2,"Guesthouse","Entire home/apt",1,1,1,1,"Real Bed",0,2,29,"f","flexible",120,"f","f","f",31,0
8108,30745238,"f",1,"within an hour",123,"f",4,"House","Private room",1,1,1,2,"Real Bed",20,1,21,"t","strict_14_with_grace_period",30,"f","f","f",10,0
4603,20031528,"t",1,"within an hour",131,"f",3,"Serviced apartment","Entire home/apt",2,1,1,1,"Real Bed",75,2,1125,"t","moderate",99,"t","f","f",35,2
5920,23009897,"f",1,"within an hour",50,"f",4,"House","Entire home/apt",4,2,2,3,"Real Bed",238,2,1125,"t","super_strict_30",119,"f","f","f",17,0
3039,14303580,"f",1,"within an hour",4,"t",3,"Apartment","Entire home/apt",2,1.5,1,1,"Real Bed",65,1,29,"f","strict_14_with_grace_period",200,"t","f","f",33,5
4044,18375018,"t",1,"within an hour",1,"f",5,"House","Entire home/apt",4,2,2,2,"Real Bed",60,2,1125,"t","moderate",175,"f","f","f",44,0
4251,19015514,"t",1,"within an hour",2,"f",3,"Apartment","Entire home/apt",2,1,0,1,"Real Bed",30,1,25,"t","moderate",90,"f","f","f",27,2
1409,7262142,"t",1,"within an hour",1,"t",2,"Guest suite","Entire home/apt",1,1,1,1,"Real Bed",35,2,28,"f","moderate",70,"f","f","f",24,0
8324,31692153,"f",1,"within an hour",1,"f",6,"House","Entire home/apt",1,2.5,3,3,"Real Bed",150,1,30,"t","strict_14_with_grace_period",275,"f","f","f",22,0
7121,27144007,"f",1,"within an hour",1,"t",1,"Townhouse","Private room",1,1,1,1,"Real Bed",15,1,1125,"f","moderate",70,"f","f","f",18,0
5118,21323426,"f",1,"within an hour",1,"f",1,"Guest suite","Private room",1,1,1,1,"Real Bed",0,1,1125,"t","flexible",70,"f","f","f",14,0
1383,7178239,"t",1,"within an hour",3,"t",3,"House","Private room",2,1,1,3,"Real Bed",25,2,1125,"f","moderate",58,"f","f","f",52,0
7338,27853572,"f",0.98,"within an hour",8,"f",4,"Apartment","Entire home/apt",2,1,1,2,"Real Bed",50,2,30,"t","flexible",125,"f","f","f",20,0
7531,28515804,"t",1,"within an hour",1,"f",4,"House","Entire home/apt",1,2,2,2,"Real Bed",30,2,1125,"t","flexible",150,"f","f","f",38,0
1389,7205443,"f",1,"within an hour",1,"t",5,"Guest suite","Entire home/apt",4,1,2,2,"Real Bed",103,1,360,"t","strict_14_with_grace_period",99,"f","f","f",22,0
2464,12649999,"t",1,"within an hour",5,"t",4,"Apartment","Entire home/apt",2,1,1,2,"Real Bed",60,4,1124,"t","strict_14_with_grace_period",110,"f","f","f",34,0
5007,21025811,"f",1,"within an hour",100,"f",3,"Apartment","Entire home/apt",1,1,1,1,"Real Bed",60,2,1125,"t","strict_14_with_grace_period",195,"t","f","f",32,1
8144,30939784,"f",1,"within a few hours",1,"t",6,"Apartment","Entire home/apt",1,2,2,3,"Real Bed",50,2,1125,"t","flexible",175,"f","f","f",19,0
4218,18880057,"f",1,"within a day",2,"t",4,"House","Entire home/apt",4,1.5,4,5,"Real Bed",150,2,14,"f","strict_14_with_grace_period",275,"f","f","f",29,1
4912,20848772,"f",1,"within an hour",2,"f",4,"House","Entire home/apt",1,1,2,2,"Real Bed",0,2,1125,"t","flexible",150,"f","f","f",10,0
6951,26415408,"t",1,"within an hour",2,"f",2,"Guest suite","Entire home/apt",1,1,0,1,"Real Bed",45,1,30,"t","moderate",42,"f","f","f",27,0
4945,20934326,"t",1,"within an hour",1,"t",2,"Other","Entire home/apt",2,1,1,1,"Real Bed",30,2,21,"f","moderate",89,"f","f","f",30,0
1556,7807090,"f",0.99,"within an hour",1276,"f",5,"Apartment","Entire home/apt",1,2,2,3,"Real Bed",99,2,1125,"t","strict_14_with_grace_period",999,"t","f","f",34,5
4677,20234206,"f",1,"within a day",1,"f",2,"Apartment","Entire home/apt",1,1,1,1,"Real Bed",45,2,1125,"f","strict_14_with_grace_period",95,"f","f","f",12,0
4675,20233409,"t",1,"within a few hours",3,"f",3,"Apartment","Entire home/apt",1,1,1,2,"Real Bed",40,3,1125,"f","moderate",138,"f","f","f",18,0
6583,25087100,"t",1,"within an hour",1,"f",6,"Apartment","Entire home/apt",1,1,2,2,"Real Bed",60,2,90,"t","flexible",125,"f","f","f",22,0
1528,7713043,"t",1,"within an hour",1,"t",2,"Other","Entire home/apt",2,0,0,2,"Real Bed",20,1,1125,"f","strict_14_with_grace_period",75,"f","f","f",24,0
2493,12798217,"t",1,"within an hour",1,"t",2,"Guest suite","Private room",2,1,1,1,"Real Bed",50,2,5,"f","strict_14_with_grace_period",85,"f","f","f",21,0
4243,18979781,"t",1,"within an hour",1,"f",3,"Condominium","Entire home/apt",3,1,1,1,"Real Bed",135,2,30,"t","flexible",145,"t","f","f",41,4
801,4100009,"t",1,"within an hour",4,"t",3,"House","Entire home/apt",2,1,1,2,"Real Bed",60,2,1125,"t","moderate",105,"f","f","f",30,0
6883,26138712,"t",1,"within an hour",2,"t",3,"Guest suite","Entire home/apt",2,1,1,1,"Real Bed",30,3,30,"f","strict_14_with_grace_period",120,"f","f","f",43,0
5790,22702281,"f",1,"within an hour",7,"t",3,"Apartment","Entire home/apt",1,1,1,1,"Real Bed",100,1,89,"t","moderate",135,"f","f","f",30,3
2488,12766030,"f",0.86,"within an hour",9,"t",3,"Apartment","Entire home/apt",2,1,1,2,"Real Bed",45,2,1125,"t","moderate",70,"f","f","f",15,0
5475,22151410,"f",0.99,"within an hour",521,"f",3,"Apartment","Entire home/apt",2,1,1,1,"Real Bed",89,2,1125,"t","strict",199,"t","f","f",17,5
7165,27269243,"f",0.9,"within an hour",5,"f",2,"House","Private room",1,1,1,1,"Real Bed",0,2,1125,"t","flexible",105,"f","f","f",47,0
6067,23622449,"t",1,"within an hour",1,"f",3,"Apartment","Entire home/apt",1,1,1,2,"Real Bed",0,2,30,"t","strict_14_with_grace_period",100,"f","f","f",37,0
3975,18194024,"t",1,"within an hour",1,"t",2,"House","Private room",1,1,1,0,"Real Bed",30,1,15,"t","moderate",53,"f","f","f",49,0
7128,27184023,"f",0.99,"within an hour",209,"f",2,"Apartment","Entire home/apt",1,1,1,1,"Real Bed",93,2,28,"t","strict_14_with_grace_period",141,"f","f","f",25,0
6695,25458324,"t",1,"within an hour",1,"f",2,"House","Private room",1,1,1,1,"Real Bed",0,2,6,"t","flexible",70,"f","f","f",14,0
7098,27029203,"t",1,"within an hour",1,"t",4,"Guest suite","Private room",3,1,2,3,"Real Bed",75,2,1125,"t","flexible",99,"f","f","f",22,0
1655,8156860,"f",1,"within a few hours",57,"t",1,"House","Shared room",1,3.5,1,1,"Real Bed",75,4,1125,"f","strict_14_with_grace_period",38,"f","f","f",21,0
7850,29732114,"t",1,"within an hour",10,"f",3,"Apartment","Entire home/apt",2,1,1,1,"Real Bed",25,1,10,"f","moderate",75,"f","f","f",27,2
2759,13546442,"f",1,"within a few hours",2,"t",2,"House","Private room",1,1,1,1,"Real Bed",40,1,14,"f","flexible",60,"f","t","f",35,0
7717,29225935,"f",0.99,"within an hour",152,"f",2,"Apartment","Entire home/apt",2,1,0,1,"Real Bed",75,30,1125,"f","strict_14_with_grace_period",125,"t","f","f",21,5
8077,30586782,"t",1,"within an hour",1,"f",3,"Apartment","Entire home/apt",1,1,1,1,"Real Bed",0,1,1125,"t","strict_14_with_grace_period",150,"f","f","f",17,0
6805,25898095,"t",1,"within an hour",1,"f",6,"Townhouse","Entire home/apt",4,2.5,2,2,"Real Bed",100,1,1125,"f","moderate",191,"f","f","f",36,0
6871,26110804,"t",1,"within an hour",1,"f",2,"Guesthouse","Entire home/apt",2,1,0,1,"Real Bed",45,4,30,"t","moderate",150,"f","f","f",28,0
8198,31224895,"f",0.97,"within an hour",14,"t",11,"House","Entire home/apt",1,3.5,4,6,"Real Bed",100,1,1125,"t","strict_14_with_grace_period",150,"f","f","f",19,0
6410,24630787,"t",1,"within an hour",3,"t",2,"Guest suite","Entire home/apt",1,1,1,1,"Real Bed",55,2,14,"t","moderate",139,"f","f","f",23,0
6727,25582819,"t",1,"within an hour",32,"f",25,"House","Entire home/apt",14,4.5,7,16,"Real Bed",300,1,365,"t","strict_14_with_grace_period",650,"f","f","f",30,0
3433,15984482,"f",1,"within an hour",2,"f",4,"Apartment","Entire home/apt",2,1,1,1,"Real Bed",75,2,60,"f","strict_14_with_grace_period",139,"f","f","f",54,0
2570,13033576,"f",1,"within an hour",1,"t",4,"Apartment","Entire home/apt",2,1,1,2,"Real Bed",55,2,1125,"t","moderate",139,"f","f","f",26,0
5539,22208661,"f",0.99,"within an hour",521,"f",3,"Apartment","Entire home/apt",2,1,1,1,"Real Bed",89,2,1125,"t","strict",275,"t","f","f",24,5
1136,6115807,"f",1,"within a few hours",3,"t",8,"House","Entire home/apt",7,2,3,4,"Real Bed",155,2,180,"f","strict_14_with_grace_period",350,"f","f","f",35,1
1086,5787922,"t",1,"within a day",1,"t",4,"Other","Entire home/apt",2,1,1,2,"Real Bed",0,2,1125,"f","moderate",115,"f","f","f",23,0
5451,22131341,"t",1,"within an hour",1,"f",4,"Condominium","Entire home/apt",2,2,2,2,"Real Bed",95,1,1125,"t","strict_14_with_grace_period",100,"t","f","f",44,5
3939,18060831,"t",1,"within an hour",2,"t",4,"Apartment","Entire home/apt",2,1,1,2,"Real Bed",70,2,150,"t","moderate",105,"f","f","f",42,1
6553,24990505,"f",1,"within an hour",3,"f",2,"Apartment","Entire home/apt",4,1,1,1,"Real Bed",40,2,1124,"t","moderate",110,"t","f","f",33,3
6438,24699941,"f",0.99,"within an hour",152,"f",2,"Apartment","Entire home/apt",1,1,1,1,"Real Bed",79,3,1125,"t","strict_14_with_grace_period",179,"t","f","f",12,3
530,2614387,"t",1,"within an hour",2,"f",2,"House","Private room",2,1,1,1,"Real Bed",25,2,19,"f","moderate",69,"f","f","f",35,0
7483,28373622,"t",1,"within an hour",1,"f",2,"House","Private room",1,1,1,1,"Real Bed",15,1,14,"t","moderate",35,"f","f","f",21,0
7367,27966646,"t",1,"within an hour",5,"f",4,"House","Private room",2,2,1,2,"Real Bed",50,1,30,"t","moderate",75,"f","f","f",47,0
6416,24657854,"t",1,"within an hour",131,"f",2,"Serviced apartment","Entire home/apt",1,1,1,1,"Real Bed",75,2,1125,"t","flexible",250,"f","f","f",36,3
3902,17940236,"t",1,"within an hour",2,"t",2,"Condominium","Private room",2,1,1,1,"Real Bed",40,2,1125,"f","strict_14_with_grace_period",115,"f","f","f",33,3
5078,21213854,"t",1,"within an hour",1,"f",6,"Guest suite","Entire home/apt",4,1,2,4,"Real Bed",125,2,1125,"t","moderate",150,"f","f","f",47,0
1755,8630702,"t",1,"within an hour",1,"t",6,"Apartment","Entire home/apt",4,1,2,3,"Real Bed",110,2,1125,"t","moderate",225,"f","f","f",30,0
5749,22518354,"t",1,"within an hour",131,"f",2,"Serviced apartment","Entire home/apt",1,1,1,1,"Real Bed",75,2,1125,"t","flexible",99,"f","f","f",43,2
2319,11913478,"f",1,"within an hour",5,"f",2,"Apartment","Entire home/apt",1,1,0,1,"Real Bed",50,1,1125,"t","strict_14_with_grace_period",115,"f","f","f",24,0
7348,27900551,"t",1,"within an hour",5,"f",2,"Apartment","Entire home/apt",1,1,1,1,"Real Bed",30,3,29,"t","moderate",79,"f","f","f",36,0
2277,11640921,"t",1,"within an hour",1,"t",2,"Townhouse","Private room",1,1,1,1,"Real Bed",35,2,90,"f","moderate",65,"f","t","f",34,0
6490,24774326,"t",1,"within an hour",131,"f",2,"Serviced apartment","Entire home/apt",1,1,1,1,"Real Bed",75,2,1125,"t","flexible",450,"f","f","f",36,2
7157,27262812,"f",1,"within an hour",15,"t",1,"House","Shared room",1,3.5,1,1,"Real Bed",0,1,30,"t","strict_14_with_grace_period",25,"f","f","f",18,0
6801,25894869,"t",1,"within an hour",1,"f",3,"Guest suite","Entire home/apt",3,1,1,1,"Real Bed",0,2,7,"t","moderate",125,"f","f","f",41,0
7932,30018930,"f",0.99,"within an hour",152,"f",5,"Apartment","Entire home/apt",1,2,2,3,"Real Bed",150,2,1125,"f","strict_14_with_grace_period",250,"t","f","f",18,3
1364,7075948,"t",1,"within an hour",2,"t",5,"Townhouse","Entire home/apt",4,1.5,2,2,"Real Bed",130,3,1125,"f","strict_14_with_grace_period",180,"f","f","f",18,0
4700,20283906,"t",1,"within a few hours",2,"t",5,"House","Entire home/apt",2,1,2,2,"Real Bed",75,3,31,"t","strict_14_with_grace_period",187,"f","f","f",36,0
3073,14462890,"f",1,"within an hour",40,"f",2,"Other","Private room",1,1,1,1,"Real Bed",0,1,1125,"t","moderate",59,"f","f","f",23,0
553,2736961,"f",1,"within an hour",1,"t",3,"Guesthouse","Entire home/apt",1,1,0,1,"Real Bed",35,1,21,"f","moderate",95,"f","f","f",30,0
6605,25179298,"f",1,"within an hour",50,"f",6,"Condominium","Entire home/apt",6,2,2,3,"Real Bed",253,2,1125,"t","super_strict_30",157,"f","f","f",21,1
