"X","id","host_is_superhost","host_response_rate","host_response_time","host_listings_count","host_identity_verified","accommodates","property_type","room_type","guests_included","bathrooms","bedrooms","beds","bed_type","cleaning_fee","minimum_nights","maximum_nights","instant_bookable","cancellation_policy","price","In_Downtown","In_Delridge","In_Lake_City","num_amenities","total_nearby_landmarks"
638,3333971,"f",0.99,"within an hour",8,"f",2,"Apartment","Entire home/apt",1,1,1,1,"Real Bed",10,1,1125,"t","strict_14_with_grace_period",160,"t","f","f",13,3
7116,27114760,"f",1,"within an hour",1,"t",3,"Apartment","Entire home/apt",1,1,1,1,"Real Bed",39,4,1125,"t","moderate",349,"t","f","f",49,5
5878,22869703,"t",1,"within an hour",131,"f",2,"Serviced apartment","Entire home/apt",1,1,1,1,"Real Bed",75,2,1125,"t","flexible",100,"f","f","f",43,2
2245,11478058,"t",1,"within an hour",2,"t",2,"House","Private room",1,1,1,1,"Futon",10,1,14,"t","strict_14_with_grace_period",32,"f","f","f",26,0
516,2520890,"f",1,"within an hour",1,"t",2,"Guesthouse","Entire home/apt",2,1,1,1,"Real Bed",30,2,28,"f","moderate",85,"f","f","f",26,0
3134,14760988,"t",1,"within an hour",10,"f",4,"Other","Entire home/apt",2,1,0,2,"Real Bed",85,2,60,"f","moderate",172,"t","f","f",35,3
1926,9494946,"f",1,"within an hour",40,"f",2,"Other","Private room",1,1,0,1,"Real Bed",0,1,1125,"t","moderate",59,"f","f","f",25,0
795,4047058,"t",1,"within an hour",5,"t",3,"House","Private room",1,2,1,1,"Real Bed",25,1,365,"t","moderate",65,"f","f","f",36,0
3605,16690527,"t",1,"within an hour",1,"t",2,"Apartment","Entire home/apt",1,1,0,1,"Real Bed",60,2,30,"t","moderate",70,"f","f","f",27,0
4958,20962091,"t",0.93,"within an hour",5,"f",7,"Apartment","Entire home/apt",1,2,3,0,"Real Bed",125,2,1125,"t","moderate",395,"f","f","f",27,1
6401,24595820,"f",1,"within an hour",1,"f",5,"Apartment","Entire home/apt",2,1,1,2,"Real Bed",70,2,1125,"t","strict_14_with_grace_period",75,"t","f","f",27,3
